id,judul,isi_berita,kategori
87,Pemilu Akan Segera Dimulai,Pemilu nasional akan dilaksanakan bulan depan dengan partisipasi kandidat besar.,politik
88,Konser Musisi Dunia Akan Digelar di Jakarta,Festival musik internasional sukses digelar dengan ribuan pengunjung.,hiburan
89,Klub Sepak Bola Mendatangkan Pemain Baru,Tim nasional berhasil mengalahkan lawan dalam final turnamen dunia.,olahraga
90,Olimpiade Tahun Ini Resmi Dibuka,Olimpiade resmi dibuka dengan partisipasi atlet dari berbagai negara.,olahraga
91,Keamanan Siber Semakin Ditingkatkan,Inovasi di bidang kecerdasan buatan semakin banyak diaplikasikan di industri.,teknologi
92,Konser Musisi Dunia Akan Digelar di Jakarta,Festival musik internasional sukses digelar dengan ribuan pengunjung.,hiburan
93,Olimpiade Tahun Ini Resmi Dibuka,Tim nasional berhasil mengalahkan lawan dalam final turnamen dunia.,olahraga
94,Olimpiade Tahun Ini Resmi Dibuka,Olimpiade resmi dibuka dengan partisipasi atlet dari berbagai negara.,olahraga
95,Konser Musisi Dunia Akan Digelar di Jakarta,Drama Korea ini sedang trending di berbagai platform streaming.,hiburan
96,Drama Korea Ini Sedang Trending,Film terbaru dari sutradara terkenal memenangkan penghargaan internasional.,hiburan
97,Pemerintah Mengumumkan Kebijakan Baru,Pemerintah mengumumkan kebijakan ekonomi baru untuk meningkatkan kesejahteraan.,politik
98,Pertandingan Final Berjalan Dramatis,Pertandingan final berjalan dramatis dengan gol di menit akhir.,olahraga
99,Olimpiade Tahun Ini Resmi Dibuka,Tim nasional berhasil mengalahkan lawan dalam final turnamen dunia.,olahraga
100,Perusahaan Teknologi Meluncurkan Produk Baru,Inovasi di bidang kecerdasan buatan semakin banyak diaplikasikan di industri.,teknologi
